variable,coef,t_stat
China: Output: Plate Glass.1,-0.34475803530949634,-1.0873115142680458
China: Output: Cement,-0.1919892656223965,-0.9956185372863912
China: Output: Air Conditioner: YoY,-0.05437996520049637,-0.32744046292917084
China: Output: Air Conditioner: YoY.1,-0.05437996520049637,-0.32744046292917084
China: Value-added of Industry: Industrial Enterprises Above Designated Size: Mining and Dressing of Ferrous Metal Ores: YoY.1,-0.030440352860750863,-0.09971855119471365
China: Value-added of Industry: Industrial Enterprises Above Designated Size: Mining and Dressing of Non-ferrous Metal Ores: YoY.1,-0.2684617160412017,-1.1151633709575712
China: Value-added of Industry: Industrial Enterprises Above Designated Size: Manufacture of General Purpose Machinery: YoY,0.4438834073898761,1.7002456973803157
China: Value-added of Industry: Industrial Enterprises Above Designated Size: Mining and Dressing of Non-ferrous Metal Ores: YoY,-0.2684617160412017,-1.115163370955245
China: Value-added of Industry: Industrial Enterprises Above Designated Size: Manufacture of Foods: YoY.1,-0.07161233335500583,-0.22576099058626253
China: Value-added of Industry: Industrial Enterprises Above Designated Size: Manufacture of Textile Apparel: YoY.1,0.16065721112681786,0.31832967947770785
China: Value-added of Industry: Industrial Enterprises Above Designated Size: Manufacture of General Purpose Machinery: YoY.1,0.4438834073898761,1.7002456973784221
China: Value-added of Industry: Industrial Enterprises Above Designated Size: Manufacture of Foods: YoY,-0.07161233335500583,-0.22576099058590202
China: Value-added of Industry: Industrial Enterprises Above Designated Size: Manufacture of Textile Apparel: YoY,0.16065721112681786,0.3183296794714642
China: Value-added of Industry: Industrial Enterprises Above Designated Size: Mining and Dressing of Ferrous Metal Ores: YoY,-0.030440352860750863,-0.09971855119371872
China: CPI: Excluding Food and Energy (Core CPI): YoY,0.6548347148200264,1.0313405537621305
China: CPI: Excluding Food and Energy (Core CPI): YoY.1,0.6548347148200264,1.031340553681307
Yield_Slope_10Y_1Y,38509.01740712245,37834.337913553
Inflation_Gap_CPI_PPI,-322665.4667407902,-607349.6283138916
Money_Gap_M2_M1,3418139.4009910603,11638167.668548895
